"DateTime","New Addresses","Active Addresses","Zero Balance Addresses","Price"
"2022-01-01 00:00:00",250,702,215,259.01
"2022-01-02 00:00:00",231,630,186,260.19
"2022-01-03 00:00:00",267,748,202,270.4
"2022-01-04 00:00:00",252,721,190,260.75
"2022-01-05 00:00:00",238,689,172,248.76
"2022-01-06 00:00:00",255,772,221,227.74
"2022-01-07 00:00:00",201,685,221,212.29
"2022-01-08 00:00:00",239,762,276,206.39
"2022-01-09 00:00:00",193,564,176,217.58
"2022-01-10 00:00:00",178,528,135,196.22
"2022-01-11 00:00:00",164,520,146,215.48
"2022-01-12 00:00:00",198,545,149,220.32
"2022-01-13 00:00:00",181,567,170,216.67
"2022-01-14 00:00:00",204,570,119,216.76
"2022-01-15 00:00:00",280,700,192,239.56
"2022-01-16 00:00:00",232,657,222,238.51
"2022-01-17 00:00:00",226,593,171,222.25
"2022-01-18 00:00:00",227,678,201,233.5
"2022-01-19 00:00:00",186,593,166,217.38
"2022-01-20 00:00:00",200,611,174,217.22
"2022-01-21 00:00:00",235,775,217,185.95
"2022-01-22 00:00:00",275,888,296,145.35
"2022-01-23 00:00:00",225,642,207,152.25
"2022-01-24 00:00:00",236,736,225,149.61
"2022-01-25 00:00:00",191,564,159,153.07
"2022-01-26 00:00:00",202,605,154,152.63
"2022-01-27 00:00:00",166,544,152,145.74
"2022-01-28 00:00:00",184,626,188,147.21
"2022-01-29 00:00:00",181,500,144,154.07
"2022-01-30 00:00:00",173,485,137,152.47
"2022-01-31 00:00:00",162,489,131,157.59
"2022-02-01 00:00:00",158,522,159,165.17
"2022-02-02 00:00:00",162,498,137,155.94
"2022-02-03 00:00:00",139,507,133,150.24
"2022-02-04 00:00:00",182,609,194,162.76
"2022-02-05 00:00:00",182,630,206,168.17
"2022-02-06 00:00:00",224,608,200,169.32
"2022-02-07 00:00:00",195,580,139,181.72
"2022-02-08 00:00:00",210,727,241,176.31
"2022-02-09 00:00:00",191,590,193,187.29
"2022-02-10 00:00:00",174,567,179,181.87
"2022-02-11 00:00:00",201,636,226,176.44
"2022-02-12 00:00:00",175,563,202,168.17
"2022-02-13 00:00:00",193,558,207,160.28
"2022-02-14 00:00:00",168,558,168,159.94
"2022-02-15 00:00:00",177,579,166,165.59
"2022-02-16 00:00:00",158,496,145,164.54
"2022-02-17 00:00:00",160,544,159,155.49
"2022-02-18 00:00:00",145,495,129,144.9
"2022-02-19 00:00:00",188,518,145,146.6
"2022-02-20 00:00:00",186,545,189,138.98
"2022-02-21 00:00:00",180,492,138,136.24
"2022-02-22 00:00:00",184,578,160,132.95
"2022-02-23 00:00:00",166,512,133,137.71
"2022-02-24 00:00:00",201,754,233,120.28
"2022-02-25 00:00:00",186,663,173,137.28
"2022-02-26 00:00:00",176,578,187,135.76
"2022-02-27 00:00:00",192,576,165,142.63
"2022-02-28 00:00:00",182,525,142,141.03
"2022-03-01 00:00:00",226,628,183,142.78
"2022-03-02 00:00:00",186,603,190,138.65
"2022-03-03 00:00:00",163,591,172,128.28
"2022-03-04 00:00:00",167,646,212,126.98
"2022-03-05 00:00:00",178,570,211,125.13
"2022-03-06 00:00:00",144,585,211,120.35
"2022-03-07 00:00:00",167,598,187,118.58
"2022-03-08 00:00:00",253,731,199,125
"2022-03-09 00:00:00",205,695,248,126.81
"2022-03-10 00:00:00",186,617,191,118.91
"2022-03-11 00:00:00",176,601,175,116.57
"2022-03-12 00:00:00",244,674,201,120.77
"2022-03-13 00:00:00",159,511,134,120.13
"2022-03-14 00:00:00",195,600,195,114.75
"2022-03-15 00:00:00",166,986,603,119.56
"2022-03-16 00:00:00",278,1338,763,129.6
"2022-03-17 00:00:00",255,799,216,145.6
"2022-03-18 00:00:00",210,945,402,160.79
"2022-03-19 00:00:00",275,762,227,157.48
"2022-03-20 00:00:00",346,772,199,150.23
"2022-03-21 00:00:00",290,745,191,154.85
"2022-03-22 00:00:00",230,668,180,155.77
"2022-03-23 00:00:00",204,626,177,151.73
"2022-03-24 00:00:00",172,736,285,171.24
"2022-03-25 00:00:00",174,656,204,164.49
"2022-03-26 00:00:00",181,925,536,163.68
"2022-03-27 00:00:00",195,634,213,163.51
"2022-03-28 00:00:00",168,628,167,177.35
"2022-03-29 00:00:00",608,1572,724,214.85
"2022-03-30 00:00:00",373,1226,397,230.18
"2022-03-31 00:00:00",241,834,261,209.26
"2022-04-01 00:00:00",292,1061,322,255.73
"2022-04-02 00:00:00",224,762,217,239.04
"2022-04-03 00:00:00",211,702,205,243.38
"2022-04-04 00:00:00",152,590,180,230.18
"2022-04-05 00:00:00",171,554,160,227.82
"2022-04-06 00:00:00",179,698,183,194.46
"2022-04-07 00:00:00",171,633,152,203.92
"2022-04-08 00:00:00",247,691,130,190.11
"2022-04-09 00:00:00",181,584,140,183.31
"2022-04-10 00:00:00",170,592,193,186.2
"2022-04-11 00:00:00",143,706,229,162.32
"2022-04-12 00:00:00",162,573,172,162.73
"2022-04-13 00:00:00",185,577,174,175.95
"2022-04-14 00:00:00",185,677,262,169.41
"2022-04-15 00:00:00",119,443,152,174.79
"2022-04-16 00:00:00",129,449,133,171.52
"2022-04-17 00:00:00",166,509,154,177.15
"2022-04-18 00:00:00",138,497,120,167.08
"2022-04-19 00:00:00",128,487,112,180.53
"2022-04-20 00:00:00",144,611,151,186.03
"2022-04-21 00:00:00",147,521,116,184.86
"2022-04-22 00:00:00",141,555,153,174.85
"2022-04-23 00:00:00",142,426,113,177.61
"2022-04-24 00:00:00",146,423,113,167.29
"2022-04-25 00:00:00",152,532,124,169.24
"2022-04-26 00:00:00",156,646,195,161.71
"2022-04-27 00:00:00",171,724,231,172.15
"2022-04-28 00:00:00",136,528,133,169.85
"2022-04-29 00:00:00",134,495,111,156.03
"2022-04-30 00:00:00",139,460,118,152.9
"2022-05-01 00:00:00",103,403,100,145.64
"2022-05-02 00:00:00",117,444,118,141.03
"2022-05-03 00:00:00",99,435,109,141.08
"2022-05-04 00:00:00",132,532,141,148.48
"2022-05-05 00:00:00",112,499,109,138.86
"2022-05-06 00:00:00",128,485,124,136.66
"2022-05-07 00:00:00",172,497,146,138.18
"2022-05-08 00:00:00",193,613,176,128.69
"2022-05-09 00:00:00",218,764,205,104.34
"2022-05-10 00:00:00",176,694,175,111.32
"2022-05-11 00:00:00",287,877,208,87.54
"2022-05-12 00:00:00",372,1001,244,72.8
"2022-05-13 00:00:00",446,1015,223,85.35
"2022-05-14 00:00:00",364,804,203,82.55
"2022-05-15 00:00:00",263,698,191,85.87
"2022-05-16 00:00:00",272,784,219,85.07
"2022-05-17 00:00:00",167,580,158,86.18
"2022-05-18 00:00:00",233,760,224,84.28
"2022-05-19 00:00:00",322,799,167,91.48
"2022-05-20 00:00:00",206,715,193,90.37
"2022-05-21 00:00:00",286,615,127,91.62
"2022-05-22 00:00:00",173,504,129,91.84
"2022-05-23 00:00:00",223,721,173,99.55
"2022-05-24 00:00:00",220,672,166,101.35
"2022-05-25 00:00:00",178,553,130,102.99
"2022-05-26 00:00:00",145,575,139,101.57
"2022-05-27 00:00:00",204,705,215,91.51
"2022-05-28 00:00:00",189,531,153,94.95
"2022-05-29 00:00:00",154,448,123,95.43
"2022-05-30 00:00:00",248,709,156,117.4
"2022-05-31 00:00:00",218,733,173,116.06
"2022-06-01 00:00:00",190,578,151,106.99
"2022-06-02 00:00:00",134,471,95,108.55
"2022-06-03 00:00:00",164,491,101,106.16
"2022-06-04 00:00:00",135,416,114,105.95
"2022-06-05 00:00:00",123,342,75,103.73
"2022-06-06 00:00:00",167,562,136,105.85
"2022-06-07 00:00:00",182,510,109,100.98
"2022-06-08 00:00:00",177,461,84,96.96
"2022-06-09 00:00:00",156,455,135,95.89
"2022-06-10 00:00:00",170,578,152,87.6
"2022-06-11 00:00:00",203,650,198,76.78
"2022-06-12 00:00:00",309,799,267,74.95
"2022-06-13 00:00:00",242,885,227,59.27
"2022-06-14 00:00:00",289,834,165,62.36
"2022-06-15 00:00:00",247,777,150,66.25
"2022-06-16 00:00:00",244,751,196,58.13
"2022-06-17 00:00:00",262,727,185,57.66
"2022-06-18 00:00:00",282,814,207,50.75
"2022-06-19 00:00:00",435,937,227,54.01
"2022-06-20 00:00:00",240,779,178,62.08
"2022-06-21 00:00:00",213,814,203,65.65
"2022-06-22 00:00:00",174,656,142,62.72
"2022-06-23 00:00:00",154,673,210,68.46
"2022-06-24 00:00:00",217,738,205,72.3
"2022-06-25 00:00:00",151,533,125,69.96
"2022-06-26 00:00:00",126,465,102,65.69
"2022-06-27 00:00:00",160,526,101,63.53
"2022-06-28 00:00:00",173,606,141,60.17
"2022-06-29 00:00:00",150,513,106,60.63
"2022-06-30 00:00:00",182,629,132,54.99
"2022-07-01 00:00:00",256,772,172,56.5
"2022-07-02 00:00:00",373,821,193,57.04
"2022-07-03 00:00:00",302,688,151,57.81
"2022-07-04 00:00:00",239,674,133,63.12
"2022-07-05 00:00:00",218,636,131,59.41
"2022-07-06 00:00:00",237,665,142,62.4
"2022-07-07 00:00:00",216,727,177,70.79
"2022-07-08 00:00:00",247,758,170,73.22
"2022-07-09 00:00:00",285,891,274,81.92
"2022-07-10 00:00:00",232,791,214,77.84
"2022-07-11 00:00:00",176,668,152,69.98
"2022-07-12 00:00:00",184,711,221,68.61
"2022-07-13 00:00:00",202,685,142,79.56
"2022-07-14 00:00:00",388,989,218,88.89
"2022-07-15 00:00:00",256,890,250,90.53
"2022-07-16 00:00:00",362,898,192,92.61
"2022-07-17 00:00:00",327,765,161,88.97
"2022-07-18 00:00:00",1278,1864,209,96.21
"2022-07-19 00:00:00",297,1844,1179,98.92
"2022-07-20 00:00:00",244,731,167,90.94
"2022-07-21 00:00:00",288,778,191,95.53
"2022-07-22 00:00:00",262,784,171,89.76
"2022-07-23 00:00:00",297,734,196,89.76
"2022-07-24 00:00:00",331,730,152,90.9
"2022-07-25 00:00:00",206,678,144,81.84
"2022-07-26 00:00:00",228,648,121,80.78
"2022-07-27 00:00:00",348,839,183,94.61
"2022-07-28 00:00:00",271,820,213,100.19
"2022-07-29 00:00:00",210,723,160,96.5
"2022-07-30 00:00:00",306,932,335,95.03
"2022-07-31 00:00:00",405,1046,365,98.01
"2022-08-01 00:00:00",206,782,260,95.02
"2022-08-02 00:00:00",212,783,191,94.26
"2022-08-03 00:00:00",226,862,242,95.5
"2022-08-04 00:00:00",207,661,165,95.55
"2022-08-05 00:00:00",229,784,191,102.74
"2022-08-06 00:00:00",215,613,144,100.37
"2022-08-07 00:00:00",324,759,174,103
"2022-08-08 00:00:00",218,712,167,102.68
"2022-08-09 00:00:00",168,603,151,98.1
"2022-08-10 00:00:00",192,838,305,110.81
"2022-08-11 00:00:00",196,737,210,107.19
"2022-08-12 00:00:00",158,651,171,111.7
"2022-08-13 00:00:00",226,729,219,111.13
"2022-08-14 00:00:00",276,682,143,107.54
"2022-08-15 00:00:00",147,584,148,107.98
"2022-08-16 00:00:00",163,642,174,108.04
"2022-08-17 00:00:00",213,749,203,100.54
"2022-08-18 00:00:00",209,698,188,98.5
"2022-08-19 00:00:00",176,740,168,85.66
"2022-08-20 00:00:00",120,475,97,83.44
"2022-08-21 00:00:00",247,653,162,85.46
"2022-08-22 00:00:00",137,574,143,88.36
"2022-08-23 00:00:00",146,535,119,89.28
"2022-08-24 00:00:00",272,726,153,88.56
"2022-08-25 00:00:00",157,637,163,92.97
"2022-08-26 00:00:00",142,639,166,82.81
"2022-08-27 00:00:00",172,549,139,82.31
