Date,Tweet Volume
2022-01-01,64
2022-01-02,70
2022-01-03,299
2022-01-04,247
2022-01-05,231
2022-01-06,235
2022-01-07,215
2022-01-08,235
2022-01-09,186
2022-01-10,187
2022-01-11,181
2022-01-12,200
2022-01-13,185
2022-01-14,187
2022-01-15,273
2022-01-16,192
2022-01-17,58
2022-01-18,90
2022-01-19,68
2022-01-20,47
2022-01-21,58
2022-01-22,45
2022-01-23,75
2022-01-24,69
2022-01-25,53
2022-01-26,62
2022-01-27,45
2022-01-28,108
2022-01-29,66
2022-01-30,82
2022-01-31,70
2022-02-01,83
2022-02-02,53
2022-02-03,48
2022-02-04,62
2022-02-05,35
2022-02-06,60
2022-02-07,91
2022-02-08,122
2022-02-09,103
2022-02-10,51
2022-02-11,34
2022-02-12,34
2022-02-13,24
2022-02-14,24
2022-02-15,37
2022-02-16,44
2022-02-17,46
2022-02-18,47
2022-02-19,22
2022-02-20,26
2022-02-21,38
2022-02-22,27
2022-02-23,47
2022-02-24,40
2022-02-25,81
2022-02-26,44
2022-02-27,67
2022-02-28,46
2022-03-01,34
2022-03-02,32
2022-03-03,45
2022-03-04,33
2022-03-05,25
2022-03-06,36
2022-03-07,59
2022-03-08,62
2022-03-09,51
2022-03-10,36
2022-03-11,25
2022-03-12,36
2022-03-13,35
2022-03-14,38
2022-03-15,39
2022-03-16,172
2022-03-17,304
2022-03-18,215
2022-03-19,74
2022-03-20,68
2022-03-21,62
2022-03-22,61
2022-03-23,62
2022-03-24,90
2022-03-25,83
2022-03-26,43
2022-03-27,33
2022-03-28,65
2022-03-29,237
2022-03-30,306
2022-03-31,487
2022-04-01,605
2022-04-02,552
2022-04-03,609
2022-04-04,599
2022-04-05,526
2022-04-06,455
2022-04-07,170
2022-04-08,151
2022-04-09,100
2022-04-10,329
2022-04-11,154
2022-04-12,442
2022-04-13,134
2022-04-14,132
2022-04-15,84
2022-04-16,68
2022-04-17,237
2022-04-18,464
2022-04-19,223
2022-04-20,348
2022-04-21,331
2022-04-22,149
2022-04-23,96
2022-04-24,80
2022-04-25,153
2022-04-26,173
2022-04-27,219
2022-04-28,341
2022-04-29,162
2022-04-30,89
2022-05-01,123
2022-05-02,84
2022-05-03,160
2022-05-04,134
2022-05-05,150
2022-05-06,65
2022-05-07,36
2022-05-08,43
2022-05-09,62
2022-05-10,93
2022-05-11,404
2022-05-12,333
2022-05-13,215
2022-05-14,138
2022-05-15,102
2022-05-16,49
2022-05-17,75
2022-05-18,166
2022-05-19,130
2022-05-20,124
2022-05-21,48
2022-05-22,33
2022-05-23,129
2022-05-24,146
2022-05-25,93
2022-05-26,83
2022-05-27,60
2022-05-28,39
2022-05-29,86
2022-05-30,176
2022-05-31,162
2022-06-01,238
2022-06-02,199
2022-06-03,156
2022-06-04,175
2022-06-05,152
2022-06-06,225
2022-06-07,206
2022-06-08,62
2022-06-09,40
2022-06-10,65
2022-06-11,45
2022-06-12,50
2022-06-13,204
