,Date,Text,Hashtags
0,2022-05-30 23:55:00+00:00,"↑ Aave V2 Deposit APY for USDC on Polygon is 1.43%. It was previously 1.42%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
1,2022-05-30 23:50:05+00:00,"Top #cryptos performers of the day: 
#WAVES      70.16%
#TRB      38.85%
#HNT      31.92%
#AXS      30.11%
#SNX      27.10%
#ENS      26.19%
#C98      25.88%
#AAVE      24.10%
#TOMO      23.60%
#RUNE      23.48%
#KNC      19.82%
#LIT      19.59%","['cryptos', 'WAVES', 'TRB', 'HNT', 'AXS', 'SNX', 'ENS', 'C98', 'AAVE', 'TOMO', 'RUNE', 'KNC', 'LIT']"
2,2022-05-30 23:50:00+00:00,"↑ Aave V2 Borrow APY for USDT on Polygon is 2.57%. It was previously 2.56%. 
#defiratealert  #Aave  #USDT  #Polygon","['defiratealert', 'Aave', 'USDT', 'Polygon']"
3,2022-05-30 23:50:00+00:00,"↓ Aave V2 Deposit APY for USDC on Polygon is 1.42%. It was previously 1.44%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
4,2022-05-30 23:50:00+00:00,"↓ Aave V2 Borrow APY for USDC on Polygon is 2.68%. It was previously 2.69%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
5,2022-05-30 23:30:01+00:00,"⬇️ Top losers of the last hour (Out of Top 100) 📉

🔴 #AAVE $117.1006 📉 -2.45621324% 
🔴 #XMR $204.8637 📉 -0.75355942% 
🔴 #ZIL $0.0546 📉 -0.50083696% 
🔴 #CRV $1.3871 📉 -0.34943297% 
🔴 #XTZ $2.1627 📉 -0.2340156%

Trade #crypto on Binance https://t.co/YF3WzpbYc1","['AAVE', 'XMR', 'ZIL', 'CRV', 'XTZ', 'crypto']"
6,2022-05-30 23:20:00+00:00,"↓ Aave V2 Borrow APY for USDC on Polygon is 2.69%. It was previously 2.7%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
7,2022-05-30 23:20:00+00:00,"↓ Aave V2 Borrow APY for USDT on Polygon is 2.55%. It was previously 2.57%. 
#defiratealert  #Aave  #USDT  #Polygon","['defiratealert', 'Aave', 'USDT', 'Polygon']"
8,2022-05-30 23:20:00+00:00,"↓ Aave V2 Deposit APY for USDT on Polygon is 1.29%. It was previously 1.31%. 
#defiratealert  #Aave  #USDT  #Polygon","['defiratealert', 'Aave', 'USDT', 'Polygon']"
9,2022-05-30 23:15:00+00:00,"↑ Aave V2 Borrow APY for USDC on Polygon is 2.7%. It was previously 2.69%. 
#defiratealert  #Aave  #USDC  #Polygon","['defiratealert', 'Aave', 'USDC', 'Polygon']"
10,2022-05-30 23:03:02+00:00,"Strongest Movers in #USDT
 1 #Helium $hnt 🚀
 2 #AxieInfinity $axs 🚀
 3 #SynthetixNetworkToken $snx 🔥
 4 #Aave $aave 🔥

Strengthening #alts
 1 #Evmos $evmos 🔥
 2 #TokenizeXchange $tkx 🔥
 3 #Chain $xcn 🔥
 4 #SynthetixNetworkToken $snx 

out of Top coins

Do not FOMO","['USDT', 'Helium', 'AxieInfinity', 'SynthetixNetworkToken', 'Aave', 'alts', 'Evmos', 'TokenizeXchange', 'Chain', 'SynthetixNetworkToken']"
11,2022-05-30 23:00:32+00:00,"🔥 WARM REPORT 🔥

🕓 24h VARIATION: 
#AAVE +25.11% | Price : 118.63$
#HNT +30.86% | Price : 9.584$
#AXS +30.88% | Price : 23.92$
#WAVES +67.66% | Price : 7.367$","['AAVE', 'HNT', 'AXS', 'WAVES']"
12,2022-05-30 22:43:09+00:00,"Assessing AAVE’s performance after protocol launched its V3
#AAVE 

https://t.co/KDBubJYVuE",['AAVE']
13,2022-05-30 22:38:39+00:00,"$comp #comp #compound 
Adoption of #defi 🙂 by institutions 
$aave #aave https://t.co/1JHdJlnhWo","['comp', 'compound', 'defi', 'aave']"
14,2022-05-30 22:36:18+00:00,"Assessing #AAVE’s performance after protocol launched its V3

https://t.co/8gBHuw6yXR",['AAVE']
15,2022-05-30 22:18:28+00:00,Biggest Gainers in Crypto &amp; DeFi Today – Uniswap Pumps #UNI #1INCH #AAVE #AMP #COMP #CRV #CVX #KNC #LINK #MKR  https://t.co/eBySKLgGOi,"['UNI', '1INCH', 'AAVE', 'AMP', 'COMP', 'CRV', 'CVX', 'KNC', 'LINK', 'MKR']"
